plant_id,date,mean_dc,mean_ac,mean_daily_yield,mean_total_yield,mean_amb_temp,mean_mod_temp,mean_irr
4135001,5/15/2020,2879.856266,281.8991604,2586.279926,6856086.774,27.43082279,32.58296414,0.204699031
4136001,5/15/2020,318.9510196,311.692697,3826.512932,644703386.6,30.5659924,35.55949313,0.300621633
4135001,5/16/2020,3002.139358,293.8778808,3464.273323,6863167.332,26.78053837,31.85885106,0.211951025
4136001,5/16/2020,268.3900758,262.4306158,3425.500902,637767577.9,29.47861211,35.14331397,0.246630967
4135001,5/17/2020,3200.5656,312.9618321,3695.106669,6869207.961,26.68672696,32.74043509,0.238868523
4136001,5/17/2020,263.3697529,257.761847,3178.155912,642928212.6,29.78010946,34.62673105,0.221183282
4135001,5/18/2020,2278.668814,222.9970213,2429.114465,6875445.849,23.85093751,27.81434383,0.159025886
4136001,5/18/2020,251.3132941,245.7445858,2963.582806,644825348.4,27.33669398,31.61808901,0.223914378
4135001,5/19/2020,2732.640629,267.4625583,2962.975236,6888140.013,25.33802099,29.7251635,0.194030769
4136001,5/19/2020,219.5523995,214.6310508,2563.046769,650818257.3,26.50065912,30.10608358,0.21416127
4136001,5/20/2020,233.3605158,228.2525869,3817.77941,759031998.9,28.23301597,33.34986273,0.279029903
4135001,5/20/2020,3215.06326,314.0457939,3356.779939,6888532.943,25.07678206,29.33208768,0.228069278
4136001,5/21/2020,285.9445949,279.5262525,3283.734469,728453462.5,29.05546056,34.78279744,0.283241509
4135001,5/21/2020,4956.921159,484.4608548,4844.519541,6905199.033,27.73757522,37.18687047,0.34641427
4136001,5/22/2020,288.6060924,282.0670956,3412.768567,737778475.3,29.64856575,36.748054,0.297248365
4135001,5/22/2020,3166.017999,309.5809211,2739.611023,6898265.485,26.52670296,32.47888504,0.230407526
4136001,5/23/2020,290.4069993,283.8255269,3638.373214,728195099.9,30.64959897,36.9099501,0.293333131
4135001,5/23/2020,3896.944424,380.9419244,4325.328418,6913180.707,26.83961694,34.80184307,0.290073907
4136001,5/24/2020,277.3689451,271.186018,3261.075973,715336730.2,30.80594319,37.11655134,0.285687961
4135001,5/24/2020,3390.319078,331.3531301,3873.698458,6921214.447,27.62511626,33.9785444,0.259762294
4136001,5/25/2020,337.2611916,329.6158901,4048.982848,722080012.9,30.81842876,36.56704099,0.276634637
4135001,5/25/2020,3834.449084,374.5515346,4394.764566,6929363.109,27.21015705,34.53396267,0.283680892
4136001,5/26/2020,333.6921823,326.0898338,3751.152205,705725800,30.02799321,35.77891773,0.28369452
4135001,5/26/2020,3403.81512,332.7624371,2112.023726,6935661.383,26.90445498,33.47315382,0.2526103
4136001,5/27/2020,257.7758963,252.0058824,3347.698901,664826158.9,30.40093759,37.03448526,0.285749361
4135001,5/27/2020,2916.92354,285.4326782,2498.541264,6940298.908,26.83546913,32.42028754,0.213932982
4136001,5/28/2020,288.7928432,282.2586088,3394.915542,727259254.5,30.13005713,36.03372073,0.293094029
4135001,5/28/2020,3788.583419,370.2623514,3827.339586,6952354.74,26.76627807,33.50317441,0.271170667
4136001,5/29/2020,270.4794158,264.6549157,3712.325017,704404762.9,30.04737604,34.88385707,0.244602199
4135001,5/29/2020,4896.060547,478.5977367,4096.258698,6954099.934,26.4037861,36.3046384,0.31386913
4136001,5/30/2020,290.9709303,284.4964615,3387.622033,641087701.2,29.54867032,33.62053868,0.24819789
4135001,5/30/2020,3078.746635,301.1568156,3338.140278,6968307.122,24.99122323,30.81601229,0.227865148
4136001,5/31/2020,263.6589229,257.74912,3373.797335,639644237.7,28.45127655,33.09781531,0.200041251
4135001,5/31/2020,2553.918566,249.7337013,2950.626721,6976649.782,25.47259957,30.16071278,0.183598522
4136001,6/1/2020,178.0186529,174.0101928,2456.991517,640815186.3,25.50704481,28.49376125,0.141371199
4136001,6/2/2020,245.9715742,240.6579573,2765.598329,620343396.1,27.10240532,32.88319149,0.247381442
4136001,6/3/2020,198.4905101,194.2799408,2560.464541,638250273.5,26.13420571,29.57243419,0.174890926
4136001,6/4/2020,224.8912913,220.0707946,2825.434402,643441985.3,26.30493927,30.83073055,0.210237284
4136001,6/5/2020,245.600149,240.216815,3762.257519,645005291.6,27.08235502,32.30056184,0.232985441
4135001,6/6/2020,2792.85502,273.0665327,2474.08228,7013243.467,24.24735463,28.80277222,0.203404979
4136001,6/6/2020,249.5819388,243.9071296,3656.243712,634369221.5,27.80129808,32.85081808,0.270455633
4136001,6/7/2020,224.0904034,219.0003831,3505.90439,629208466.4,27.85576372,33.5946379,0.260780675
4136001,6/8/2020,286.1429283,279.6612797,4247.264078,644557173,28.49334708,34.31220356,0.281650458
